mz	rtime	p-value	FDR_BH
85.0402	51	0.9822528850245877	0.9890468469661067
85.0654	82	0.2861297681567797	0.8046589777223632
85.0653	321	0.6638721416466493	0.9195558540108547
85.0766	39	0.18550847659661746	0.8024026159679822
85.0766	557	0.9082677951456049	0.9713906534954925
85.1015	35	0.7104620509119017	0.9364344775220601
85.1016	594	0.467530382816404	0.8661093827350878
85.5743	124	0.06326789907712838	0.8024026159679822
86.0606	271	0.06217692000046547	0.8024026159679822
86.097	82	0.8417243921821331	0.9550748863674383
86.097	493	0.07984772320267977	0.8024026159679822
87.094	70	0.372532330374721	0.8384441418562157
87.1004	483	0.1660672027670246	0.8024026159679822
88.0221	477	0.23146371044606487	0.8024026159679822
88.0853	497	0.6837965269570856	0.9272660521228034
88.1126	463	0.39951504862839426	0.8477869670205034
88.5095	470	0.6800930913276562	0.9272660521228034
89.0013	39	0.8141739496285221	0.9473173652691366
89.0717	453	0.05636323324725926	0.8024026159679822
89.0796	244	0.6041890235979905	0.9071022197108042
89.1159	46	0.5616551486311863	0.8957381744619255
89.5071	119	0.20841746524814406	0.8024026159679822
89.5071	465	0.019196262254748308	0.7368016417940488
90.0088	469	0.5371948521818051	0.8854146015389159
90.0555	91	0.4331419026721771	0.8585352918797358
90.5264	433	0.8634244985636302	0.9606662904394035
90.9689	65	0.7514472216177279	0.9423109804179649
90.9771	68	0.08781116343176915	0.8024026159679822
90.9771	573	0.11818864754140612	0.8024026159679822
91.0588	85	0.531462462754728	0.8853074905962995
91.5429	120	0.3482475067157662	0.829557276482562
91.9805	68	0.3949608844775302	0.8462951843163331
92.0844	126	0.7973224285471154	0.9470990368116975
92.9814	65	0.6503612547397696	0.914080021288562
94.0355	121	0.46665706082344127	0.8661093827350878
94.0456	125	0.8228717611353646	0.9482448620223902
94.0456	495	0.9402219500020275	0.9814322349643178
94.0546	125	0.9767868595292595	0.9879323052107892
94.546	125	0.7356190063474499	0.937396042591115
94.546	467	0.7405971009511463	0.940417161073501
94.5738	126	0.23490161305447002	0.8024026159679822
95.0245	72	0.4276471477684064	0.8576163614975463
95.0245	556	0.41913555970813565	0.8558435723122181
95.0443	124	0.44774262786147356	0.863053284543885
95.0444	471	0.506578226510042	0.8808915543227998
95.0477	136	0.7851556879831002	0.946079757269059
95.061	544	0.16527210356716038	0.8024026159679822
95.0689	73	0.7314902328207074	0.9370883596164007
95.086	11	0.12058082844797192	0.8024026159679822
95.5428	121	0.20453834155832634	0.8024026159679822
95.546	121	0.870203859243575	0.9611640789982936
95.5461	493	0.34122368401486036	0.8255450586149032
96.0449	245	0.29130962367595215	0.8046589777223632
96.9223	107	0.3816964327768626	0.8402186538769066
96.9607	28	0.38304769843525077	0.8402186538769066
97.0401	459	0.7699147203711594	0.946079757269059
97.9689	39	0.18006211654990728	0.8024026159679822
97.9918	488	0.26632769335735806	0.8024026159679822
98.0141	20	0.4606115877537952	0.8650129478495001
98.0969	501	0.6997713103268925	0.9322785434391663
98.5125	252	0.06447995668807716	0.8024026159679822
98.9192	108	0.5559668357563381	0.8957381744619255
98.9558	299	0.20053188471709632	0.8024026159679822
98.9615	310	0.7645723360858478	0.946079757269059
98.9846	137	0.8969098597385283	0.9709585975479134
98.9846	554	0.2886339727005597	0.8046589777223632
99.0445	333	0.41286426770689344	0.8510831330359784
99.0809	12	0.14611138035896348	0.8024026159679822
99.5128	320	0.5388706061098534	0.8859651741012022
100.0761	196	0.16732259111378875	0.8024026159679822
100.5105	318	0.44414611437585483	0.8623727103041458
100.9569	318	0.1718421564050773	0.8024026159679822
101.0714	580	0.12214102731167024	0.8024026159679822
101.0796	196	0.19215619506792683	0.8024026159679822
102.0273	481	0.5083160266398743	0.8808915543227998
102.0343	468	0.17647663553559656	0.8024026159679822
102.0457	472	0.8037978205018228	0.9470990368116975
102.0666	108	0.15258680364478094	0.8024026159679822
102.0667	506	0.2403104424072144	0.8024026159679822
102.1282	234	0.5038320035416917	0.8808042599734999
102.5336	470	0.2525840275139735	0.8024026159679822
103.0324	476	0.07480119118511463	0.8024026159679822
103.0381	452	0.6355829989383777	0.914080021288562
103.0508	141	0.7677278626666482	0.946079757269059
103.056	106	0.9907249497566252	0.9943127529920235
103.07	95	0.17927803358684233	0.8024026159679822
103.0757	178	0.4846220682773318	0.8749641975566412
103.0951	277	0.1431132328843726	0.8024026159679822
103.5495	121	0.7930862020179519	0.9470990368116975
103.5484	501	0.6938314432857613	0.9322785434391663
103.9556	21	0.3358462905816796	0.8241809301539335
103.9556	524	0.2764877466176041	0.8024026159679822
104.0307	142	0.7573102599658814	0.9438692553905474
104.0307	464	0.20153694169480962	0.8024026159679822
104.0492	121	0.7013501242572854	0.9322785434391663
104.0711	92	0.0160586246137564	0.7368016417940488
104.1074	75	0.45637822087322066	0.863053284543885
104.1074	591	0.9757100122461165	0.9879323052107892
104.5472	121	0.7098599739878458	0.9364344775220601
105.0139	66	0.26559369536356153	0.8024026159679822
105.0339	573	0.44685431253122854	0.863053284543885
105.0427	66	0.18235301655019734	0.8024026159679822
105.0542	73	0.25895347099706434	0.8024026159679822
105.0713	86	0.20950251056631225	0.8024026159679822
105.1107	70	0.21076126574800746	0.8024026159679822
