m/z	retention_time	FDR_BH	t-score	row_number	p-value	mock_6hr_01	mock_6hr_02	mock_6hr_03	p_0hr_01	p_0hr_02	p_0hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
271.0885	101.0	3.260865907027167e-10	202.56559486921435	row_7851	4.0786315284892644e-14	9.7	9.7	9.78	9.97	9.97	9.69	16.08	16.08	16.13
389.2671	238.0	8.871948649637229e-10	92.69405574212895	row_7893	2.2193742713288878e-13	9.97	9.97	9.97	9.97	9.97	9.97	13.5	13.61	13.49
305.1452	88.0	3.2350607739910324e-09	74.44877677344603	row_7870	1.2139064817977608e-12	9.97	9.97	9.97	9.97	9.97	9.97	18.67	19.04	18.7
613.1556	295.0	4.1182006618699495e-09	-59.087288754077086	row_2490	2.0603880734809e-12	18.46	18.41	18.87	18.67	19.03	18.76	9.97	9.97	9.97
484.1131	295.0	7.199928936040435e-08	-58.15965618973415	row_2333	5.286992537008531e-11	18.02	17.98	18.42	17.76	18.54	18.28	9.97	9.97	9.97
306.0746	94.0	7.199928936040435e-08	-65.5838955325485	row_1828	5.6140388024710344e-11	17.04	16.82	17.19	16.35	16.65	17.09	9.97	9.97	9.97
384.088	105.0	7.199928936040435e-08	-37.509736891327535	row_2098	6.303877742624521e-11	18.83	18.27	18.87	18.52	18.68	18.37	9.56	9.97	9.54
307.5834	295.0	7.449083578165554e-08	-60.27151596374167	row_1834	7.453742167019941e-11	18.36	18.27	18.73	17.99	18.89	18.66	9.97	9.97	9.97
296.1302	110.0	9.674862856221636e-08	41.581245772583685	row_7867	1.089102760550278e-10	9.97	9.97	9.97	9.97	9.95	9.97	15.47	15.79	15.94
169.5265	93.0	1.5143432096246027e-07	-57.9995864000565	row_894	1.8941128325510978e-10	16.18	16.15	16.49	15.58	15.73	16.33	9.97	9.97	9.97
288.1171	89.0	1.9099287209498475e-07	74.42894862741495	row_7862	2.6277943627827794e-10	9.97	9.97	9.97	9.97	10.99	10.9	16.85	17.03	16.71
221.0581	83.0	2.144031290017723e-07	-50.832899562299005	row_6242	3.2180582214149687e-10	15.11	14.93	15.28	15.74	15.43	15.01	9.97	9.97	9.97
248.4397	37.0	2.5995222394863403e-07	29.23037464286275	row_7932	4.3297423292338965e-10	10.59	9.97	9.97	10.3	9.97	9.97	17.29	17.78	17.48
307.0828	295.0	2.5995222394863403e-07	-38.97679809160424	row_1831	4.648010077494425e-10	21.03	20.57	21.0	20.39	21.23	20.99	11.21	11.42	10.74
138.0421	58.0	2.5995222394863403e-07	5.632957963199333	row_7811	4.87715241929895e-10	13.5	11.26	11.17	9.97	9.97	9.97	16.3	16.21	16.31
215.0482	120.0	2.668131320359911e-07	-40.60493651719232	row_1326	5.339599890651479e-10	20.18	20.15	20.48	19.62	20.01	20.24	13.89	14.12	13.72
238.1063	302.0	5.360004273318031e-07	35.70014716997674	row_7842	1.1397132288481118e-09	9.97	9.97	9.97	9.44	9.97	9.97	16.67	16.56	16.08
308.0626	117.0	5.741279418654927e-07	55.71809810322864	row_7687	1.2925957415358185e-09	10.68	10.83	10.88	9.97	9.97	10.95	15.72	15.8	15.58
406.0702	105.0	5.921088294757958e-07	-25.209914402066165	row_2155	1.4071379312120225e-09	16.18	15.65	16.24	15.9	15.84	15.7	9.97	9.49	9.97
298.5694	295.0	6.676140339418939e-07	-38.54559056083339	row_5869	1.6951867446301418e-09	15.14	15.1	15.53	14.85	15.67	15.44	9.97	9.97	9.97
276.9721	72.0	6.676140339418939e-07	28.940549663396162	row_7857	1.7535828283651998e-09	9.97	9.97	9.97	9.97	9.97	9.97	13.91	13.96	13.54
205.5373	93.0	7.23247973771203e-07	-29.967790928773574	row_1257	1.990175787738145e-09	15.53	14.95	15.42	15.42	15.66	14.98	9.97	9.97	9.97
254.1012	204.0	8.853225142992898e-07	17.893134536226423	row_7847	2.5468940373838232e-09	9.97	9.97	9.1	9.97	9.97	9.97	15.48	15.46	15.09
